# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.00000e-06      4.55625e-01      
  6.00020e-06      4.55625e-01      
  1.10004e-05      4.55625e-01      
  1.60006e-05      4.55625e-01      
  2.10008e-05      4.55625e-01      
  2.60010e-05      4.55625e-01      
  3.10012e-05      4.55625e-01      
  3.60014e-05      4.55625e-01      
  4.10016e-05      4.55626e-01      
  4.60018e-05      4.55626e-01      
  5.10020e-05      4.55626e-01      
  5.60022e-05      4.55626e-01      
  6.10024e-05      4.55626e-01      
  6.60026e-05      4.55626e-01      
  7.10028e-05      4.55627e-01      
  7.60030e-05      4.55627e-01      
  8.10032e-05      4.55627e-01      
  8.60034e-05      4.55628e-01      
  9.10036e-05      4.55628e-01      
  9.60038e-05      4.55628e-01      
  1.01004e-04      4.55628e-01      
  1.06004e-04      4.55629e-01      
  1.11004e-04      4.55629e-01      
  1.16005e-04      4.55630e-01      
  1.21005e-04      4.55630e-01      
  1.26005e-04      4.55630e-01      
  1.31005e-04      4.55631e-01      
  1.36005e-04      4.55631e-01      
  1.41006e-04      4.55632e-01      
  1.46006e-04      4.55632e-01      
  1.51006e-04      4.55633e-01      
  1.56006e-04      4.55633e-01      
  1.61006e-04      4.55634e-01      
  1.66007e-04      4.55634e-01      
  1.71007e-04      4.55635e-01      
  1.76007e-04      4.55636e-01      
  1.81007e-04      4.55636e-01      
  1.86007e-04      4.55637e-01      
  1.91008e-04      4.55637e-01      
  1.96008e-04      4.55638e-01      
  2.01008e-04      4.55639e-01      
  2.06008e-04      4.55639e-01      
  2.11008e-04      4.55640e-01      
  2.16009e-04      4.55641e-01      
  2.21009e-04      4.55642e-01      
  2.26009e-04      4.55642e-01      
  2.31009e-04      4.55643e-01      
  2.36009e-04      4.55644e-01      
  2.41010e-04      4.55645e-01      
  2.46010e-04      4.55646e-01      
  2.51010e-04      4.55646e-01      
  2.56010e-04      4.55647e-01      
  2.61010e-04      4.55648e-01      
  2.66011e-04      4.55649e-01      
  2.71011e-04      4.55650e-01      
  2.76011e-04      4.55651e-01      
  2.81011e-04      4.55652e-01      
  2.86011e-04      4.55653e-01      
  2.91012e-04      4.55654e-01      
  2.96012e-04      4.55655e-01      
  3.01012e-04      4.55656e-01      
  3.06012e-04      4.55657e-01      
  3.11012e-04      4.55658e-01      
  3.16013e-04      4.55659e-01      
  3.21013e-04      4.55660e-01      
  3.26013e-04      4.55661e-01      
  3.31013e-04      4.55662e-01      
  3.36013e-04      4.55663e-01      
  3.41014e-04      4.55665e-01      
  3.46014e-04      4.55666e-01      
  3.51014e-04      4.55667e-01      
  3.56014e-04      4.55668e-01      
  3.61014e-04      4.55669e-01      
  3.66015e-04      4.55671e-01      
  3.71015e-04      4.55672e-01      
  3.76015e-04      4.55673e-01      
  3.81015e-04      4.55674e-01      
  3.86015e-04      4.55676e-01      
  3.91016e-04      4.55677e-01      
  3.96016e-04      4.55678e-01      
  4.01016e-04      4.55680e-01      
  4.06016e-04      4.55681e-01      
  4.11016e-04      4.55682e-01      
  4.16017e-04      4.55684e-01      
  4.21017e-04      4.55685e-01      
  4.26017e-04      4.55687e-01      
  4.31017e-04      4.55688e-01      
  4.36017e-04      4.55690e-01      
  4.41018e-04      4.55691e-01      
  4.46018e-04      4.55693e-01      
  4.51018e-04      4.55694e-01      
  4.56018e-04      4.55696e-01      
  4.61018e-04      4.55697e-01      
  4.66019e-04      4.55699e-01      
  4.71019e-04      4.55701e-01      
  4.76019e-04      4.55702e-01      
  4.81019e-04      4.55704e-01      
  4.86019e-04      4.55705e-01      
  4.91020e-04      4.55707e-01      
  4.96020e-04      4.55709e-01      
  5.01020e-04      4.55710e-01      
  5.06020e-04      4.55712e-01      
  5.11020e-04      4.55714e-01      
  5.16021e-04      4.55716e-01      
  5.21021e-04      4.55717e-01      
  5.26021e-04      4.55719e-01      
  5.31021e-04      4.55721e-01      
  5.36021e-04      4.55723e-01      
  5.41022e-04      4.55725e-01      
  5.46022e-04      4.55726e-01      
  5.51022e-04      4.55728e-01      
  5.56022e-04      4.55730e-01      
  5.61022e-04      4.55732e-01      
  5.66023e-04      4.55734e-01      
  5.71023e-04      4.55736e-01      
  5.76023e-04      4.55738e-01      
  5.81023e-04      4.55740e-01      
  5.86023e-04      4.55742e-01      
  5.91024e-04      4.55744e-01      
  5.96024e-04      4.55746e-01      
  6.01024e-04      4.55748e-01      
  6.06024e-04      4.55750e-01      
  6.11024e-04      4.55752e-01      
  6.16025e-04      4.55754e-01      
  6.21025e-04      4.55756e-01      
  6.26025e-04      4.55758e-01      
  6.31025e-04      4.55761e-01      
  6.36025e-04      4.55763e-01      
  6.41026e-04      4.55765e-01      
